epoch,train_acc,train_loss,test_acc,test_loss,,,,,,,,
1,0.947643977,0.191566601,0.885416667,0.25164402,,,,,,,,
,,,,,,,,,,,,
2,0.945026178,0.128028291,0.916666667,0.208782136,,,,,,,,
,,,,,,,,,,,,
3,0.97382199,0.079866162,0.947916667,0.201060017,,,,,,,,
,,,,,,CNN-RNN,,,,,,
4,0.997382199,0.037986458,0.9375,0.195053046,,,,,,,,
,,,,,,,,,,,,
5,0.997382199,0.025844975,0.9375,0.174734021,,,,,,,,
,,,,,,,,,,,,
6,0.997382199,0.019889747,0.958333333,0.148012246,,,,,,,,
,,,,,,,,,,,,
7,0.997382199,0.017375819,0.958333333,0.141080953,,,,,,,,
,,,,,,,,,,,,
8,1,0.010919392,0.916666667,0.196699001,,,,,,,,
,,,,,,,,,,,,
9,1,0.005299047,0.96875,0.135531407,,,,,,,,
,,,,,,,,,,,,
0,0.764397906,0.426454647,0.885416667,0.341554552,,,,,,,,
,,,,,,,,,,,,
1,0.931937171,0.184918643,0.885416667,0.307202597,,,,,,,,
,,,,,,,,,,,,
2,0.952879579,0.133447206,0.885416667,0.273348088,,,,,,,,
,,,,,,,,,,,,
3,0.98167539,0.101510344,0.90625,0.239142393,,,,,,,,
,,,,,,,,,,,,
4,0.984293194,0.071567084,0.90625,0.216312587,,,,,,,,
,,,,,,CNN RNN BACKWARD,,,,,,
5,0.986910995,0.060477879,0.927083333,0.222041843,,,,,,,,
,,,,,,,,,,,,
6,0.989528796,0.045645221,0.90625,0.204017008,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.040384367,0.927083333,0.202142671,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.035847303,0.927083333,0.202833608,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.032400698,0.927083333,0.192674838,,,,,,,,
,,,,,,,,,,,,
0,0.60471204,0.584735197,0.90625,0.446618716,,,,,,,,
,,,,,,,,,,,,
1,0.945026178,0.314141405,0.895833333,0.259012729,,,,,,,,
